xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
-5.1	-4.9	1	offset	-5	offset	-5	1	1501
-4.9	-4.7	-4.8 -5	offset	-4.8	offset	-5	1	1174
-4.7	-4.5	-4.6 -5	offset	-4.6	offset	-5	1	1124
-4.5	-4.3	-4.4 -5	offset	-4.4	offset	-5	1	1074
-4.3	-4.1	-4.2 -5	offset	-4.2	offset	-5	1	1024
-4.1	-3.9	-4 -5	offset	-4	offset	-5	1	974
-3.9	-3.7	-3.8 -5	offset	-3.8	offset	-5	1	924
-3.7	-3.5	-3.6 -5	offset	-3.6	offset	-5	1	874
-3.5	-3.3	-3.4 -5	offset	-3.4	offset	-5	1	824
-3.3	-3.1	-3.2 -5	offset	-3.2	offset	-5	1	774
-3.1	-2.9	-3 -5	offset	-3	offset	-5	1	724
-2.9	-2.7	-2.8 -5	offset	-2.8	offset	-5	1	674
-2.7	-2.5	-2.6 -5	offset	-2.6	offset	-5	1	624
-2.5	-2.3	-2.4 -5	offset	-2.4	offset	-5	1	574
-2.3	-2.1	-2.2 -5	offset	-2.2	offset	-5	1	524
-2.1	-1.9	-2 -5	offset	-2	offset	-5	1	474
-1.9	-1.7	-1.8 -5	offset	-1.8	offset	-5	1	424
-1.7	-1.5	-1.6 -5	offset	-1.6	offset	-5	1	374
-1.5	-1.3	-1.4 -5	offset	-1.4	offset	-5	1	324
-1.3	-1.1	-1.2 -5	offset	-1.2	offset	-5	1	274
-1.1	-0.9	-1 -5	offset	-1	offset	-5	1	224
-0.9	-0.7	-0.8 -5	offset	-0.8	offset	-5	1	174
-0.7	-0.5	-0.6 -5	offset	-0.6	offset	-5	1	124
-0.5	-0.299999999999999	-0.399999999999999 -5	offset	-0.399999999999999	offset	-5	1	74
-0.299999999999999	-0.0999999999999996	-0.199999999999999 -5	offset	-0.199999999999999	offset	-5	1	24
-0.0999999999999996	0.1	0 -5	offset	0	offset	-5	1	1275
0.1	0.3	0.2 -5	offset	0.2	offset	-5	1	1325
0.3	0.5	0.4 -5	offset	0.4	offset	-5	1	1375
0.5	0.700000000000001	0.6 -5	offset	0.600000000000001	offset	-5	1	1425
0.700000000000001	0.9	0.800000000000001 -5	offset	0.800000000000001	offset	-5	1	1475
0.9	1.1	1 -5	offset	1	offset	-5	1	1526
1.1	1.3	1.2 -5	offset	1.2	offset	-5	1	1576
1.3	1.5	1.4 -5	offset	1.4	offset	-5	1	1626
1.5	1.7	1.6 -5	offset	1.6	offset	-5	1	1676
1.7	1.9	1.8 -5	offset	1.8	offset	-5	1	1726
1.9	2.1	2 -5	offset	2	offset	-5	1	1776
2.1	2.3	2.2 -5	offset	2.2	offset	-5	1	1826
2.3	2.5	2.4 -5	offset	2.4	offset	-5	1	1876
2.5	2.7	2.6 -5	offset	2.6	offset	-5	1	1926
2.7	2.9	2.8 -5	offset	2.8	offset	-5	1	1976
2.9	3.1	3 -5	offset	3	offset	-5	1	2026
3.1	3.3	3.2 -5	offset	3.2	offset	-5	1	2076
3.3	3.5	3.4 -5	offset	3.4	offset	-5	1	2126
3.5	3.7	3.6 -5	offset	3.6	offset	-5	1	2176
3.7	3.9	3.8 -5	offset	3.8	offset	-5	1	2226
3.9	4.1	4 -5	offset	4	offset	-5	1	2276
4.1	4.3	4.2 -5	offset	4.2	offset	-5	1	2326
4.3	4.5	4.4 -5	offset	4.4	offset	-5	1	2376
4.5	4.7	4.6 -5	offset	4.6	offset	-5	1	2426
4.7	4.9	4.8 -5	offset	4.8	offset	-5	1	2476
4.9	5.1	5 -5	offset	5	offset	-5	1	2526
-5.1	-4.9	-5 -4.8	offset	-5	offset	-4.8	1	1224
-4.9	-4.7	1	offset	-4.8	offset	-4.8	1	1501
-4.7	-4.5	-4.6 -4.8	offset	-4.6	offset	-4.8	1	1123
-4.5	-4.3	-4.4 -4.8	offset	-4.4	offset	-4.8	1	1073
-4.3	-4.1	-4.2 -4.8	offset	-4.2	offset	-4.8	1	1023
-4.1	-3.9	-4 -4.8	offset	-4	offset	-4.8	1	973
-3.9	-3.7	-3.8 -4.8	offset	-3.8	offset	-4.8	1	923
-3.7	-3.5	-3.6 -4.8	offset	-3.6	offset	-4.8	1	873
-3.5	-3.3	-3.4 -4.8	offset	-3.4	offset	-4.8	1	823
-3.3	-3.1	-3.2 -4.8	offset	-3.2	offset	-4.8	1	773
-3.1	-2.9	-3 -4.8	offset	-3	offset	-4.8	1	723
-2.9	-2.7	-2.8 -4.8	offset	-2.8	offset	-4.8	1	673
-2.7	-2.5	-2.6 -4.8	offset	-2.6	offset	-4.8	1	623
-2.5	-2.3	-2.4 -4.8	offset	-2.4	offset	-4.8	1	573
-2.3	-2.1	-2.2 -4.8	offset	-2.2	offset	-4.8	1	523
-2.1	-1.9	-2 -4.8	offset	-2	offset	-4.8	1	473
-1.9	-1.7	-1.8 -4.8	offset	-1.8	offset	-4.8	1	423
-1.7	-1.5	-1.6 -4.8	offset	-1.6	offset	-4.8	1	373
-1.5	-1.3	-1.4 -4.8	offset	-1.4	offset	-4.8	1	323
-1.3	-1.1	-1.2 -4.8	offset	-1.2	offset	-4.8	1	273
-1.1	-0.9	-1 -4.8	offset	-1	offset	-4.8	1	223
-0.9	-0.7	-0.8 -4.8	offset	-0.8	offset	-4.8	1	173
-0.7	-0.5	-0.6 -4.8	offset	-0.6	offset	-4.8	1	123
-0.5	-0.299999999999999	-0.399999999999999 -4.8	offset	-0.399999999999999	offset	-4.8	1	73
-0.299999999999999	-0.0999999999999996	-0.199999999999999 -4.8	offset	-0.199999999999999	offset	-4.8	1	23
-0.0999999999999996	0.1	0 -4.8	offset	0	offset	-4.8	1	1274
0.1	0.3	0.2 -4.8	offset	0.2	offset	-4.8	1	1324
0.3	0.5	0.4 -4.8	offset	0.4	offset	-4.8	1	1374
0.5	0.700000000000001	0.6 -4.8	offset	0.600000000000001	offset	-4.8	1	1424
0.700000000000001	0.9	0.800000000000001 -4.8	offset	0.800000000000001	offset	-4.8	1	1474
0.9	1.1	1 -4.8	offset	1	offset	-4.8	1	1525
1.1	1.3	1.2 -4.8	offset	1.2	offset	-4.8	1	1575
1.3	1.5	1.4 -4.8	offset	1.4	offset	-4.8	1	1625
1.5	1.7	1.6 -4.8	offset	1.6	offset	-4.8	1	1675
1.7	1.9	1.8 -4.8	offset	1.8	offset	-4.8	1	1725
1.9	2.1	2 -4.8	offset	2	offset	-4.8	1	1775
2.1	2.3	2.2 -4.8	offset	2.2	offset	-4.8	1	1825
2.3	2.5	2.4 -4.8	offset	2.4	offset	-4.8	1	1875
2.5	2.7	2.6 -4.8	offset	2.6	offset	-4.8	1	1925
2.7	2.9	2.8 -4.8	offset	2.8	offset	-4.8	1	1975
2.9	3.1	3 -4.8	offset	3	offset	-4.8	1	2025
3.1	3.3	3.2 -4.8	offset	3.2	offset	-4.8	1	2075
3.3	3.5	3.4 -4.8	offset	3.4	offset	-4.8	1	2125
3.5	3.7	3.6 -4.8	offset	3.6	offset	-4.8	1	2175
3.7	3.9	3.8 -4.8	offset	3.8	offset	-4.8	1	2225
3.9	4.1	4 -4.8	offset	4	offset	-4.8	1	2275
4.1	4.3	4.2 -4.8	offset	4.2	offset	-4.8	1	2325
4.3	4.5	4.4 -4.8	offset	4.4	offset	-4.8	1	2375
4.5	4.7	4.6 -4.8	offset	4.6	offset	-4.8	1	2425
4.7	4.9	4.8 -4.8	offset	4.8	offset	-4.8	1	2475
4.9	5.1	5 -4.8	offset	5	offset	-4.8	1	2525
-5.1	-4.9	-5 -4.6	offset	-5	offset	-4.6	1	1223
-4.9	-4.7	-4.8 -4.6	offset	-4.8	offset	-4.6	1	1173
-4.7	-4.5	1	offset	-4.6	offset	-4.6	1	1501
-4.5	-4.3	-4.4 -4.6	offset	-4.4	offset	-4.6	1	1072
-4.3	-4.1	-4.2 -4.6	offset	-4.2	offset	-4.6	1	1022
-4.1	-3.9	-4 -4.6	offset	-4	offset	-4.6	1	972
-3.9	-3.7	-3.8 -4.6	offset	-3.8	offset	-4.6	1	922
-3.7	-3.5	-3.6 -4.6	offset	-3.6	offset	-4.6	1	872
-3.5	-3.3	-3.4 -4.6	offset	-3.4	offset	-4.6	1	822
-3.3	-3.1	-3.2 -4.6	offset	-3.2	offset	-4.6	1	772
-3.1	-2.9	-3 -4.6	offset	-3	offset	-4.6	1	722
-2.9	-2.7	-2.8 -4.6	offset	-2.8	offset	-4.6	1	672
-2.7	-2.5	-2.6 -4.6	offset	-2.6	offset	-4.6	1	622
-2.5	-2.3	-2.4 -4.6	offset	-2.4	offset	-4.6	1	572
-2.3	-2.1	-2.2 -4.6	offset	-2.2	offset	-4.6	1	522
-2.1	-1.9	-2 -4.6	offset	-2	offset	-4.6	1	472
-1.9	-1.7	-1.8 -4.6	offset	-1.8	offset	-4.6	1	422
-1.7	-1.5	-1.6 -4.6	offset	-1.6	offset	-4.6	1	372
-1.5	-1.3	-1.4 -4.6	offset	-1.4	offset	-4.6	1	322
-1.3	-1.1	-1.2 -4.6	offset	-1.2	offset	-4.6	1	272
-1.1	-0.9	-1 -4.6	offset	-1	offset	-4.6	1	222
-0.9	-0.7	-0.8 -4.6	offset	-0.8	offset	-4.6	1	172
-0.7	-0.5	-0.6 -4.6	offset	-0.6	offset	-4.6	1	122
-0.5	-0.299999999999999	-0.399999999999999 -4.6	offset	-0.399999999999999	offset	-4.6	1	72
-0.299999999999999	-0.0999999999999996	-0.199999999999999 -4.6	offset	-0.199999999999999	offset	-4.6	1	22
-0.0999999999999996	0.1	0 -4.6	offset	0	offset	-4.6	1	1273
0.1	0.3	0.2 -4.6	offset	0.2	offset	-4.6	1	1323
0.3	0.5	0.4 -4.6	offset	0.4	offset	-4.6	1	1373
0.5	0.700000000000001	0.6 -4.6	offset	0.600000000000001	offset	-4.6	1	1423
0.700000000000001	0.9	0.800000000000001 -4.6	offset	0.800000000000001	offset	-4.6	1	1473
0.9	1.1	1 -4.6	offset	1	offset	-4.6	1	1524
1.1	1.3	1.2 -4.6	offset	1.2	offset	-4.6	1	1574
1.3	1.5	1.4 -4.6	offset	1.4	offset	-4.6	1	1624
1.5	1.7	1.6 -4.6	offset	1.6	offset	-4.6	1	1674
