y	x	key	label	showSelected1	showSelected2	PANEL	group
10.8	2.55469240494628	1	Min Error=3	-5	Min	3	1
10.8	2.35469240494628	1	Min Error=3	-4.8	Min	3	1
10.8	1.46192593484417	1	Min Error=3	-4.6	Min	3	1
10.8	1.26192593484418	1	Min Error=3	-4.4	Min	3	1
10.8	1.06192593484418	1	Min Error=3	-4.2	Min	3	1
10.8	1.55469240494628	1	Min Error=2	-4	Min	3	1
10.8	1.35469240494628	1	Min Error=2	-3.8	Min	3	1
10.8	1.15469240494628	1	Min Error=2	-3.6	Min	3	1
10.8	0.954692404946284	1	Min Error=2	-3.4	Min	3	1
10.8	0.754692404946284	1	Min Error=2	-3.2	Min	3	1
10.8	0.554692404946284	1	Min Error=2	-3	Min	3	1
10.8	0.354692404946284	1	Min Error=2	-2.8	Min	3	1
10.8	0.154692404946283	1	Min Error=2	-2.6	Min	3	1
10.8	-0.0453075950537158	1	Min Error=2	-2.4	Min	3	1
10.8	-0.245307595053717	1	Min Error=2	-2.2	Min	3	1
10.8	-0.445307595053716	1	Min Error=2	-2	Min	3	1
10.8	-0.645307595053716	1	Min Error=2	-1.8	Min	3	1
10.8	-0.845307595053717	1	Min Error=2	-1.6	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	-1.4	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	-1.2	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	-1	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	-0.8	Min	3	1
10.8	0.209117077427004	1	Min Error=2	-0.6	Min	3	1
10.8	0.0091170774270033	1	Min Error=2	-0.399999999999999	Min	3	1
10.8	-0.190882922572996	1	Min Error=2	-0.199999999999999	Min	3	1
10.8	-0.390882922572995	1	Min Error=2	0	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	0.2	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	0.4	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	0.600000000000001	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	0.800000000000001	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	1	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	1.2	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	1.4	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	1.6	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	1.8	Min	3	1
10.8	-0.989307006366561	1	Min Error=2	2	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	2.2	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	2.4	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	2.6	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	2.8	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	3	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	3.2	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	3.4	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	3.6	Min	3	1
10.8	-2.58814741115137	1	Min Error=2	3.8	Min	3	1
10.8	-3.15405687671473	1	Min Error=3	4	Min	3	1
10.8	-3.15405687671473	1	Min Error=3	4.2	Min	3	1
10.8	-3.15405687671473	1	Min Error=3	4.4	Min	3	1
10.8	-2.58814741115137	1	Min Error=3	4.6	Min	3	1
10.8	-2.58814741115137	1	Min Error=3	4.8	Min	3	1
10.8	-2.58814741115137	1	Min Error=3	5	Min	3	1
