x	y	key	showSelected1	group
1	1	-5 -Inf	-5	318
0.75	1	-5 -3.5987564321254	-5	317
0.666666666666667	1	-5 -2.87110214393305	-5	316
0.583333333333333	1	-5 -2.524465240576	-5	315
0.583333333333333	0.75	-5 -1.7250450381836	-5	314
0.5	0.75	-5 -0.0126575242852369	-5	313
0.416666666666667	0.75	-5 1.26988692973461	-5	319
0.416666666666667	0.5	-5 1.71885391825865	-5	320
0.166666666666667	0.5	-5 2.20830916989523	-5	321
0.0833333333333333	0.5	-5 2.92562278092917	-5	322
0.0833333333333333	0.25	-5 3.95283511716953	-5	323
0	0.25	-5 5.45202555736225	-5	324
0	0	-5 Inf	-5	325
1	1	-4.8 -Inf	-4.8	305
0.75	1	-4.8 -3.5987564321254	-4.8	304
0.666666666666667	1	-4.8 -2.87110214393305	-4.8	303
0.583333333333333	1	-4.8 -2.524465240576	-4.8	302
0.583333333333333	0.75	-4.8 -1.7250450381836	-4.8	301
0.5	0.75	-4.8 -0.112657524285237	-4.8	300
0.416666666666667	0.75	-4.8 1.16988692973461	-4.8	306
0.416666666666667	0.5	-4.8 1.61885391825865	-4.8	307
0.166666666666667	0.5	-4.8 2.00830916989523	-4.8	308
0.0833333333333333	0.5	-4.8 2.72562278092917	-4.8	309
0.0833333333333333	0.25	-4.8 3.75283511716953	-4.8	310
0	0.25	-4.8 5.25202555736225	-4.8	311
0	0	-4.8 Inf	-4.8	312
1	1	-4.6 -Inf	-4.6	292
0.75	1	-4.6 -3.5987564321254	-4.6	291
0.666666666666667	1	-4.6 -2.87110214393305	-4.6	290
0.583333333333333	1	-4.6 -2.524465240576	-4.6	289
0.583333333333333	0.75	-4.6 -1.7250450381836	-4.6	288
0.5	0.75	-4.6 -0.212657524285237	-4.6	287
0.416666666666667	0.75	-4.6 1.01295894632013	-4.6	293
0.166666666666667	0.75	-4.6 1.51885391825865	-4.6	294
0.166666666666667	0.5	-4.6 1.86523715330971	-4.6	295
0.0833333333333333	0.5	-4.6 2.52562278092917	-4.6	296
0.0833333333333333	0.25	-4.6 3.55283511716953	-4.6	297
0	0.25	-4.6 5.05202555736225	-4.6	298
0	0	-4.6 Inf	-4.6	299
1	1	-4.4 -Inf	-4.4	279
0.75	1	-4.4 -3.5987564321254	-4.4	278
0.666666666666667	1	-4.4 -2.87110214393305	-4.4	277
0.583333333333333	1	-4.4 -2.524465240576	-4.4	276
0.583333333333333	0.75	-4.4 -1.7250450381836	-4.4	275
0.5	0.75	-4.4 -0.312657524285237	-4.4	274
0.416666666666667	0.75	-4.4 0.812958946320131	-4.4	280
0.166666666666667	0.75	-4.4 1.41885391825865	-4.4	281
0.166666666666667	0.5	-4.4 1.76523715330971	-4.4	282
0.0833333333333333	0.5	-4.4 2.32562278092917	-4.4	283
0.0833333333333333	0.25	-4.4 3.35283511716953	-4.4	284
0	0.25	-4.4 4.85202555736225	-4.4	285
0	0	-4.4 Inf	-4.4	286
1	1	-4.2 -Inf	-4.2	266
0.75	1	-4.2 -3.5987564321254	-4.2	265
0.666666666666667	1	-4.2 -2.87110214393305	-4.2	264
0.583333333333333	1	-4.2 -2.524465240576	-4.2	263
0.583333333333333	0.75	-4.2 -1.7250450381836	-4.2	262
0.5	0.75	-4.2 -0.412657524285237	-4.2	261
0.416666666666667	0.75	-4.2 0.612958946320131	-4.2	267
0.166666666666667	0.75	-4.2 1.31885391825865	-4.2	268
0.166666666666667	0.5	-4.2 1.66523715330971	-4.2	269
0.0833333333333333	0.5	-4.2 2.12562278092917	-4.2	270
0.0833333333333333	0.25	-4.2 3.15283511716953	-4.2	271
0	0.25	-4.2 4.65202555736225	-4.2	272
0	0	-4.2 Inf	-4.2	273
1	1	-4 -Inf	-4	253
0.75	1	-4 -3.5987564321254	-4	252
0.666666666666667	1	-4 -2.87110214393305	-4	251
0.583333333333333	1	-4 -2.524465240576	-4	250
0.583333333333333	0.75	-4 -1.7250450381836	-4	249
0.5	0.75	-4 -0.512657524285237	-4	248
0.416666666666667	0.75	-4 0.412958946320131	-4	254
0.166666666666667	0.75	-4 1.20830916989523	-4	255
0.0833333333333333	0.75	-4 1.56523715330971	-4	256
0.0833333333333333	0.5	-4 1.9361675292926	-4	257
0.0833333333333333	0.25	-4 2.95283511716953	-4	258
0	0.25	-4 4.45202555736225	-4	259
0	0	-4 Inf	-4	260
1	1	-3.8 -Inf	-3.8	240
0.75	1	-3.8 -3.5987564321254	-3.8	239
0.666666666666667	1	-3.8 -2.87110214393305	-3.8	238
0.583333333333333	1	-3.8 -2.524465240576	-3.8	237
0.583333333333333	0.75	-3.8 -1.7250450381836	-3.8	236
0.5	0.75	-3.8 -0.612657524285237	-3.8	235
0.416666666666667	0.75	-3.8 0.212958946320131	-3.8	241
0.166666666666667	0.75	-3.8 1.00830916989523	-3.8	242
