x	y	key	label	showSelected1	showSelected2	PANEL	group
43447	200	-5 -Inf offset	offset=-5	-5	-Inf	1	1271
43447	200	-5 -3.5987564321254 offset	offset=-5	-5	-3.5987564321254	1	1267
43447	200	-5 -2.87110214393305 offset	offset=-5	-5	-2.87110214393305	1	1263
43447	200	-5 -2.524465240576 offset	offset=-5	-5	-2.524465240576	1	1259
43447	200	-5 -1.7250450381836 offset	offset=-5	-5	-1.7250450381836	1	1255
43447	200	-5 -0.0126575242852369 offset	offset=-5	-5	-0.0126575242852369	1	1251
43447	200	-5 1.26988692973461 offset	offset=-5	-5	1.26988692973461	1	1275
43447	200	-5 1.71885391825865 offset	offset=-5	-5	1.71885391825865	1	1279
43447	200	-5 2.20830916989523 offset	offset=-5	-5	2.20830916989523	1	1283
43447	200	-5 2.92562278092917 offset	offset=-5	-5	2.92562278092917	1	1287
43447	200	-5 3.95283511716953 offset	offset=-5	-5	3.95283511716953	1	1291
43447	200	-5 5.45202555736225 offset	offset=-5	-5	5.45202555736225	1	1295
43447	200	-5 Inf offset	offset=-5	-5	Inf	1	1299
43447	200	-4.8 -Inf offset	offset=-4.8	-4.8	-Inf	1	1219
43447	200	-4.8 -3.5987564321254 offset	offset=-4.8	-4.8	-3.5987564321254	1	1215
43447	200	-4.8 -2.87110214393305 offset	offset=-4.8	-4.8	-2.87110214393305	1	1211
43447	200	-4.8 -2.524465240576 offset	offset=-4.8	-4.8	-2.524465240576	1	1207
43447	200	-4.8 -1.7250450381836 offset	offset=-4.8	-4.8	-1.7250450381836	1	1203
43447	200	-4.8 -0.112657524285237 offset	offset=-4.8	-4.8	-0.112657524285237	1	1199
43447	200	-4.8 1.16988692973461 offset	offset=-4.8	-4.8	1.16988692973461	1	1223
43447	200	-4.8 1.61885391825865 offset	offset=-4.8	-4.8	1.61885391825865	1	1227
43447	200	-4.8 2.00830916989523 offset	offset=-4.8	-4.8	2.00830916989523	1	1231
43447	200	-4.8 2.72562278092917 offset	offset=-4.8	-4.8	2.72562278092917	1	1235
43447	200	-4.8 3.75283511716953 offset	offset=-4.8	-4.8	3.75283511716953	1	1239
43447	200	-4.8 5.25202555736225 offset	offset=-4.8	-4.8	5.25202555736225	1	1243
43447	200	-4.8 Inf offset	offset=-4.8	-4.8	Inf	1	1247
43447	200	-4.6 -Inf offset	offset=-4.6	-4.6	-Inf	1	1167
43447	200	-4.6 -3.5987564321254 offset	offset=-4.6	-4.6	-3.5987564321254	1	1163
43447	200	-4.6 -2.87110214393305 offset	offset=-4.6	-4.6	-2.87110214393305	1	1159
43447	200	-4.6 -2.524465240576 offset	offset=-4.6	-4.6	-2.524465240576	1	1155
43447	200	-4.6 -1.7250450381836 offset	offset=-4.6	-4.6	-1.7250450381836	1	1151
43447	200	-4.6 -0.212657524285237 offset	offset=-4.6	-4.6	-0.212657524285237	1	1147
43447	200	-4.6 1.01295894632013 offset	offset=-4.6	-4.6	1.01295894632013	1	1171
43447	200	-4.6 1.51885391825865 offset	offset=-4.6	-4.6	1.51885391825865	1	1175
43447	200	-4.6 1.86523715330971 offset	offset=-4.6	-4.6	1.86523715330971	1	1179
43447	200	-4.6 2.52562278092917 offset	offset=-4.6	-4.6	2.52562278092917	1	1183
43447	200	-4.6 3.55283511716953 offset	offset=-4.6	-4.6	3.55283511716953	1	1187
43447	200	-4.6 5.05202555736225 offset	offset=-4.6	-4.6	5.05202555736225	1	1191
43447	200	-4.6 Inf offset	offset=-4.6	-4.6	Inf	1	1195
43447	200	-4.4 -Inf offset	offset=-4.4	-4.4	-Inf	1	1115
43447	200	-4.4 -3.5987564321254 offset	offset=-4.4	-4.4	-3.5987564321254	1	1111
43447	200	-4.4 -2.87110214393305 offset	offset=-4.4	-4.4	-2.87110214393305	1	1107
43447	200	-4.4 -2.524465240576 offset	offset=-4.4	-4.4	-2.524465240576	1	1103
43447	200	-4.4 -1.7250450381836 offset	offset=-4.4	-4.4	-1.7250450381836	1	1099
43447	200	-4.4 -0.312657524285237 offset	offset=-4.4	-4.4	-0.312657524285237	1	1095
43447	200	-4.4 0.812958946320131 offset	offset=-4.4	-4.4	0.812958946320131	1	1119
43447	200	-4.4 1.41885391825865 offset	offset=-4.4	-4.4	1.41885391825865	1	1123
43447	200	-4.4 1.76523715330971 offset	offset=-4.4	-4.4	1.76523715330971	1	1127
43447	200	-4.4 2.32562278092917 offset	offset=-4.4	-4.4	2.32562278092917	1	1131
43447	200	-4.4 3.35283511716953 offset	offset=-4.4	-4.4	3.35283511716953	1	1135
43447	200	-4.4 4.85202555736225 offset	offset=-4.4	-4.4	4.85202555736225	1	1139
43447	200	-4.4 Inf offset	offset=-4.4	-4.4	Inf	1	1143
43447	200	-4.2 -Inf offset	offset=-4.2	-4.2	-Inf	1	1063
43447	200	-4.2 -3.5987564321254 offset	offset=-4.2	-4.2	-3.5987564321254	1	1059
43447	200	-4.2 -2.87110214393305 offset	offset=-4.2	-4.2	-2.87110214393305	1	1055
43447	200	-4.2 -2.524465240576 offset	offset=-4.2	-4.2	-2.524465240576	1	1051
43447	200	-4.2 -1.7250450381836 offset	offset=-4.2	-4.2	-1.7250450381836	1	1047
43447	200	-4.2 -0.412657524285237 offset	offset=-4.2	-4.2	-0.412657524285237	1	1043
43447	200	-4.2 0.612958946320131 offset	offset=-4.2	-4.2	0.612958946320131	1	1067
43447	200	-4.2 1.31885391825865 offset	offset=-4.2	-4.2	1.31885391825865	1	1071
43447	200	-4.2 1.66523715330971 offset	offset=-4.2	-4.2	1.66523715330971	1	1075
43447	200	-4.2 2.12562278092917 offset	offset=-4.2	-4.2	2.12562278092917	1	1079
43447	200	-4.2 3.15283511716953 offset	offset=-4.2	-4.2	3.15283511716953	1	1083
43447	200	-4.2 4.65202555736225 offset	offset=-4.2	-4.2	4.65202555736225	1	1087
43447	200	-4.2 Inf offset	offset=-4.2	-4.2	Inf	1	1091
43447	200	-4 -Inf offset	offset=-4	-4	-Inf	1	1011
43447	200	-4 -3.5987564321254 offset	offset=-4	-4	-3.5987564321254	1	1007
43447	200	-4 -2.87110214393305 offset	offset=-4	-4	-2.87110214393305	1	1003
43447	200	-4 -2.524465240576 offset	offset=-4	-4	-2.524465240576	1	999
43447	200	-4 -1.7250450381836 offset	offset=-4	-4	-1.7250450381836	1	995
43447	200	-4 -0.512657524285237 offset	offset=-4	-4	-0.512657524285237	1	991
43447	200	-4 0.412958946320131 offset	offset=-4	-4	0.412958946320131	1	1015
43447	200	-4 1.20830916989523 offset	offset=-4	-4	1.20830916989523	1	1019
43447	200	-4 1.56523715330971 offset	offset=-4	-4	1.56523715330971	1	1023
43447	200	-4 1.9361675292926 offset	offset=-4	-4	1.9361675292926	1	1027
43447	200	-4 2.95283511716953 offset	offset=-4	-4	2.95283511716953	1	1031
43447	200	-4 4.45202555736225 offset	offset=-4	-4	4.45202555736225	1	1035
43447	200	-4 Inf offset	offset=-4	-4	Inf	1	1039
43447	200	-3.8 -Inf offset	offset=-3.8	-3.8	-Inf	1	959
43447	200	-3.8 -3.5987564321254 offset	offset=-3.8	-3.8	-3.5987564321254	1	955
43447	200	-3.8 -2.87110214393305 offset	offset=-3.8	-3.8	-2.87110214393305	1	951
43447	200	-3.8 -2.524465240576 offset	offset=-3.8	-3.8	-2.524465240576	1	947
43447	200	-3.8 -1.7250450381836 offset	offset=-3.8	-3.8	-1.7250450381836	1	943
43447	200	-3.8 -0.612657524285237 offset	offset=-3.8	-3.8	-0.612657524285237	1	939
43447	200	-3.8 0.212958946320131 offset	offset=-3.8	-3.8	0.212958946320131	1	963
43447	200	-3.8 1.00830916989523 offset	offset=-3.8	-3.8	1.00830916989523	1	967
43447	200	-3.8 1.46523715330971 offset	offset=-3.8	-3.8	1.46523715330971	1	971
43447	200	-3.8 1.8361675292926 offset	offset=-3.8	-3.8	1.8361675292926	1	975
43447	200	-3.8 2.75283511716953 offset	offset=-3.8	-3.8	2.75283511716953	1	979
43447	200	-3.8 4.25202555736225 offset	offset=-3.8	-3.8	4.25202555736225	1	983
43447	200	-3.8 Inf offset	offset=-3.8	-3.8	Inf	1	987
43447	200	-3.6 -Inf offset	offset=-3.6	-3.6	-Inf	1	907
43447	200	-3.6 -3.5987564321254 offset	offset=-3.6	-3.6	-3.5987564321254	1	903
43447	200	-3.6 -2.87110214393305 offset	offset=-3.6	-3.6	-2.87110214393305	1	899
43447	200	-3.6 -2.524465240576 offset	offset=-3.6	-3.6	-2.524465240576	1	895
43447	200	-3.6 -1.7250450381836 offset	offset=-3.6	-3.6	-1.7250450381836	1	891
43447	200	-3.6 -0.712657524285237 offset	offset=-3.6	-3.6	-0.712657524285237	1	887
43447	200	-3.6 0.0129589463201305 offset	offset=-3.6	-3.6	0.0129589463201305	1	911
43447	200	-3.6 0.808309169895229 offset	offset=-3.6	-3.6	0.808309169895229	1	915
43447	200	-3.6 1.36523715330971 offset	offset=-3.6	-3.6	1.36523715330971	1	919
43447	200	-3.6 1.7361675292926 offset	offset=-3.6	-3.6	1.7361675292926	1	923
43447	200	-3.6 2.55283511716953 offset	offset=-3.6	-3.6	2.55283511716953	1	927
43447	200	-3.6 4.05202555736225 offset	offset=-3.6	-3.6	4.05202555736225	1	931
43447	200	-3.6 Inf offset	offset=-3.6	-3.6	Inf	1	935
43447	200	-3.4 -Inf offset	offset=-3.4	-3.4	-Inf	1	859
43447	200	-3.4 -3.5987564321254 offset	offset=-3.4	-3.4	-3.5987564321254	1	855
43447	200	-3.4 -2.87110214393305 offset	offset=-3.4	-3.4	-2.87110214393305	1	851
43447	200	-3.4 -2.524465240576 offset	offset=-3.4	-3.4	-2.524465240576	1	847
