x	y	PANEL	group
43446.973	4	1	-1
43446.993	4	3	-1
43446.993	7	3	-1
43447.016	7	1	-1
43447.016	3	1	-1
43447.026	3	1	-1
43447.026	1	1	-1
43447.028	1	3	-1
43447.028	8	3	-1
43447.03	8	3	-1
43447.03	7	3	-1
43447.035	7	3	-1
43447.035	6	3	-1
43447.044	6	1	-1
43447.044	2	1	-1
43447.055	2	3	-1
43447.055	4	3	-1
43447.06	4	3	-1
43447.06	5	3	-1
43447.07	5	3	-1
43447.07	6	3	-1
43447.078	6	1	-1
43447.078	4	1	-1
43447.079	4	3	-1
43447.079	5	3	-1
43447.1	5	3	-1
43447.1	4	3	-1
43447.116	4	3	-1
43447.116	3	3	-1
43447.117	3	1	-1
43447.117	3	1	-1
43447.125	3	1	-1
43447.125	4	1	-1
43447.132	4	3	-1
43447.132	4	3	-1
43447.146	4	3	-1
43447.146	5	3	-1
43447.153	5	3	-1
43447.153	4	3	-1
43447.154	4	3	-1
43447.154	5	3	-1
43447.159	5	1	-1
43447.159	5	1	-1
43447.168	5	1	-1
43447.168	6	1	-1
43447.169	6	1	-1
43447.169	5	1	-1
43447.175	5	3	-1
43447.175	4	3	-1
43447.18	4	3	-1
43447.18	5	3	-1
43447.193	5	3	-1
43447.193	4	3	-1
43447.195	4	1	-1
43447.195	4	1	-1
43447.197	4	1	-1
43447.197	6	1	-1
43447.203	6	1	-1
43447.203	4	1	-1
43447.241	4	3	-1
43447.241	5	3	-1
43447.245	5	3	-1
43447.245	6	3	-1
43447.246	6	1	-1
43447.246	5	1	-1
43447.25	5	1	-1
43447.25	4	1	-1
43447.257	4	3	-1
43447.257	5	3	-1
43447.271	5	3	-1
43447.271	3	3	-1
43447.278	3	3	-1
43447.278	2	3	-1
43447.284	2	1	-1
43447.284	3	1	-1
43447.292	3	1	-1
43447.292	2	1	-1
43447.308	2	3	-1
43447.308	3	3	-1
43447.316	3	1	-1
43447.316	3	1	-1
43447.322	3	1	-1
43447.322	2	1	-1
43447.332	2	3	-1
43447.332	4	3	-1
43447.36	4	3	-1
43447.36	5	3	-1
43447.363	5	3	-1
43447.363	4	3	-1
43447.366	4	3	-1
43447.366	3	3	-1
43447.371	3	1	-1
43447.371	1	1	-1
43447.432	1	3	-1
43447.432	2	3	-1
43447.433	2	3	-1
43447.433	4	3	-1
43447.437	4	1	-1
43447.437	0	1	-1
43447.455	0	3	-1
43447.455	3	3	-1
43447.473	3	3	-1
43447.473	1	3	-1
43447.485	1	3	-1
43447.485	0	3	-1
43447.49	0	1	-1
43447.49	1	1	-1
43447.548	1	1	-1
43447.548	2	1	-1
43447.593	2	1	-1
43447.593	3	1	-1
43447.606	3	1	-1
43447.606	4	1	-1
43447.615	4	1	-1
43447.615	3	1	-1
43447.646	3	1	-1
43447.646	4	1	-1
43447.673	4	1	-1
43447.673	3	1	-1
43447.718	3	1	-1
43447.718	2	1	-1
43447.731	2	1	-1
43447.731	1	1	-1
43447.735	1	1	-1
43447.735	2	1	-1
43447.771	2	1	-1
43447.771	1	1	-1
43447.86	1	1	-1
43447.86	0	1	-1
43448.129	0	1	-1
43448.129	1	1	-1
43448.175	1	1	-1
43448.175	2	1	-1
43448.254	2	1	-1
43448.254	1	1	-1
43448.3	1	1	-1
43448.3	0	1	-1
43448.685	0	3	-1
43448.685	2	3	-1
43448.724	2	1	-1
43448.724	2	1	-1
43448.724	2	3	-1
43448.724	3	3	-1
43448.741	3	1	-1
43448.741	3	1	-1
43448.788	3	1	-1
43448.788	4	1	-1
43448.788	4	3	-1
43448.788	4	3	-1
43448.789	4	3	-1
43448.789	3	3	-1
43448.791	3	3	-1
43448.791	2	3	-1
43448.812	2	1	-1
43448.812	5	1	-1
43448.821	5	1	-1
43448.821	6	1	-1
43448.832	6	1	-1
43448.832	7	1	-1
43448.842	7	3	-1
43448.842	1	3	-1
43448.849	1	1	-1
43448.849	5	1	-1
43448.864	5	1	-1
43448.864	4	1	-1
43448.865	4	1	-1
43448.865	5	1	-1
43448.87	5	1	-1
43448.87	6	1	-1
43448.87	6	3	-1
43448.87	2	3	-1
43448.883	2	1	-1
43448.883	7	1	-1
43448.888	7	3	-1
43448.888	3	3	-1
43448.906	3	1	-1
43448.906	8	1	-1
43448.913	8	1	-1
43448.913	7	1	-1
43448.913	7	3	-1
43448.913	2	3	-1
43448.921	2	3	-1
43448.921	3	3	-1
43448.926	3	1	-1
43448.926	9	1	-1
43448.932	9	1	-1
43448.932	11	1	-1
43448.932	11	3	-1
43448.932	4	3	-1
43448.937	4	1	-1
43448.937	10	1	-1
43448.94	10	1	-1
43448.94	11	1	-1
43448.942	11	1	-1
43448.942	13	1	-1
43448.945	13	3	-1
43448.945	5	3	-1
43448.946	5	1	-1
43448.946	12	1	-1
43448.947	12	3	-1
43448.947	6	3	-1
43448.957	6	1	-1
43448.957	11	1	-1
43448.967	11	1	-1
43448.967	9	1	-1
43448.981	9	3	-1
43448.981	7	3	-1
43448.985	7	3	-1
43448.985	8	3	-1
43448.988	8	1	-1
43448.988	8	1	-1
43448.994	8	3	-1
43448.994	7	3	-1
43448.995	7	1	-1
43448.995	7	1	-1
43449.008	7	1	-1
43449.008	6	1	-1
43449.013	6	3	-1
43449.013	6	3	-1
43449.014	6	3	-1
43449.014	5	3	-1
43449.015	5	1	-1
43449.015	7	1	-1
43449.021	7	3	-1
43449.021	6	3	-1
43449.025	6	1	-1
43449.025	8	1	-1
43449.03	8	1	-1
43449.03	10	1	-1
43449.03	10	3	-1
43449.03	7	3	-1
43449.031	7	1	-1
43449.031	9	1	-1
43449.038	9	1	-1
43449.038	10	1	-1
43449.039	10	1	-1
43449.039	8	1	-1
43449.049	8	3	-1
43449.049	6	3	-1
43449.054	6	3	-1
43449.054	7	3	-1
43449.056	7	1	-1
43449.056	10	1	-1
43449.056	10	3	-1
43449.056	8	3	-1
43449.057	8	1	-1
43449.057	8	1	-1
43449.057	8	3	-1
43449.057	9	3	-1
43449.058	9	3	-1
43449.058	10	3	-1
43449.065	10	1	-1
43449.065	7	1	-1
43449.07	7	3	-1
43449.07	9	3	-1
43449.072	9	3	-1
43449.072	8	3	-1
43449.074	8	3	-1
43449.074	9	3	-1
43449.086	9	3	-1
43449.086	10	3	-1
43449.103	10	3	-1
43449.103	11	3	-1
43449.104	11	3	-1
43449.104	13	3	-1
43449.106	13	3	-1
43449.106	12	3	-1
43449.108	12	3	-1
43449.108	11	3	-1
43449.111	11	1	-1
43449.111	9	1	-1
43449.113	9	3	-1
43449.113	13	3	-1
