x	y	key	showSelected1	showSelected2	PANEL
43447.016	0	43447016 43447026	-5	-Inf	1
43447.078	0	43447078 43447117	-5	-Inf	1
43447.125	0	43447125 43447159	-5	-Inf	1
43447.168	0	43447168 43447195	-5	-Inf	1
43447.197	0	43447197 43447203	-5	-Inf	1
43447.246	0	43447246 43447250	-5	-Inf	1
43447.284	0	43447284 43447292	-5	-Inf	1
43447.316	0	43447316 43447322	-5	-Inf	1
43447.371	0	43447371 43447437	-5	-Inf	1
43447.49	0	43447490 43447548	-5	-Inf	1
43447.593	0	43447593 43447615	-5	-Inf	1
43447.646	0	43447646 43447673	-5	-Inf	1
43447.718	0	43447718 43447731	-5	-Inf	1
43447.735	0	43447735 43447860	-5	-Inf	1
43448.129	0	43448129 43448175	-5	-Inf	1
43448.254	0	43448254 43448300	-5	-Inf	1
43448.724	0	43448724 43448741	-5	-Inf	1
43448.788	0	43448788 43448812	-5	-Inf	1
43448.821	0	43448821 43448849	-5	-Inf	1
43448.864	0	43448864 43448865	-5	-Inf	1
43448.87	0	43448870 43448883	-5	-Inf	1
43448.906	0	43448906 43448913	-5	-Inf	1
43448.926	0	43448926 43448932	-5	-Inf	1
43448.937	0	43448937 43448940	-5	-Inf	1
43448.942	0	43448942 43448946	-5	-Inf	1
43448.957	0	43448957 43448967	-5	-Inf	1
43448.988	0	43448988 43448995	-5	-Inf	1
43449.015	0	43449015 43449025	-5	-Inf	1
43449.03	0	43449030 43449031	-5	-Inf	1
43449.038	0	43449038 43449039	-5	-Inf	1
43449.056	0	43449056 43449065	-5	-Inf	1
43449.111	0	43449111 43449118	-5	-Inf	1
43449.121	0	43449121 43449122	-5	-Inf	1
43449.129	0	43449129 43449147	-5	-Inf	1
43449.162	0	43449162 43449163	-5	-Inf	1
43449.177	0	43449177 43449181	-5	-Inf	1
43449.183	0	43449183 43449198	-5	-Inf	1
43449.208	0	43449208 43449213	-5	-Inf	1
43449.218	0	43449218 43449223	-5	-Inf	1
43449.228	0	43449228 43449232	-5	-Inf	1
43449.238	0	43449238 43449250	-5	-Inf	1
43449.279	0	43449279 43449282	-5	-Inf	1
43449.284	0	43449284 43449288	-5	-Inf	1
43449.294	0	43449294 43449296	-5	-Inf	1
43449.297	0	43449297 43449301	-5	-Inf	1
43449.307	0	43449307 43449313	-5	-Inf	1
43449.319	0	43449319 43449332	-5	-Inf	1
43449.333	0	43449333 43449338	-5	-Inf	1
43449.345	0	43449345 43449347	-5	-Inf	1
43449.348	0	43449348 43449361	-5	-Inf	1
43449.367	0	43449367 43449392	-5	-Inf	1
43449.394	0	43449394 43449399	-5	-Inf	1
43449.401	0	43449401 43449402	-5	-Inf	1
43449.405	0	43449405 43449419	-5	-Inf	1
43449.421	0	43449421 43449426	-5	-Inf	1
43449.431	0	43449431 43449458	-5	-Inf	1
43449.466	0	43449466 43449470	-5	-Inf	1
43449.474	0	43449474 43449481	-5	-Inf	1
43449.482	0	43449482 43449492	-5	-Inf	1
43449.499	0	43449499 43449500	-5	-Inf	1
43449.502	0	43449502 43449503	-5	-Inf	1
43449.505	0	43449505 43449508	-5	-Inf	1
43449.51	0	43449510 43449514	-5	-Inf	1
43449.515	0	43449515 43449519	-5	-Inf	1
43449.521	0	43449521 43449523	-5	-Inf	1
43449.524	0	43449524 43449528	-5	-Inf	1
43449.537	0	43449537 43449538	-5	-Inf	1
43449.539	0	43449539 43449540	-5	-Inf	1
43449.552	0	43449552 43449553	-5	-Inf	1
43449.56	0	43449560 43449565	-5	-Inf	1
43449.569	0	43449569 43449575	-5	-Inf	1
43449.577	0	43449577 43449591	-5	-Inf	1
43449.593	0	43449593 43449594	-5	-Inf	1
43449.598	0	43449598 43449599	-5	-Inf	1
43449.606	0	43449606 43449607	-5	-Inf	1
43449.609	0	43449609 43449612	-5	-Inf	1
43449.626	0	43449626 43449630	-5	-Inf	1
43449.632	0	43449632 43449634	-5	-Inf	1
43449.637	0	43449637 43449639	-5	-Inf	1
43449.64	0	43449640 43449641	-5	-Inf	1
43449.642	0	43449642 43449645	-5	-Inf	1
43449.658	0	43449658 43449664	-5	-Inf	1
43449.678	0	43449678 43449681	-5	-Inf	1
43449.684	0	43449684 43449689	-5	-Inf	1
43449.69	0	43449690 43449694	-5	-Inf	1
43449.722	0	43449722 43449750	-5	-Inf	1
43449.753	0	43449753 43449758	-5	-Inf	1
43449.781	0	43449781 43449806	-5	-Inf	1
43449.811	0	43449811 43449833	-5	-Inf	1
43449.834	0	43449834 43449838	-5	-Inf	1
43449.864	0	43449864 43449876	-5	-Inf	1
43449.905	0	43449905 43449937	-5	-Inf	1
43449.981	0	43449981 43449989	-5	-Inf	1
43450.016	0	43450016 43450035	-5	-Inf	1
43450.14	0	43450140 43450264	-5	-Inf	1
43450.278	0	43450278 43450366	-5	-Inf	1
43450.403	0	43450403 43450405	-5	-Inf	1
43450.516	0	43450516 43450556	-5	-Inf	1
43450.926	0	43450926 43450955	-5	-Inf	1
43451.051	0	43451051 43451078	-5	-Inf	1
43451.168	0	43451168 43451185	-5	-Inf	1
43451.197	0	43451197 43451279	-5	-Inf	1
43451.289	0	43451289 43451295	-5	-Inf	1
43451.301	0	43451301 43451309	-5	-Inf	1
43451.322	0	43451322 43451360	-5	-Inf	1
43451.37	0	43451370 43451409	-5	-Inf	1
43451.488	0	43451488 43451566	-5	-Inf	1
43451.768	0	43451768 43451863	-5	-Inf	1
43451.898	0	43451898 43452023	-5	-Inf	1
43452.048	0	43452048 43452082	-5	-Inf	1
43452.125	0	43452125 43452129	-5	-Inf	1
43452.13	0	43452130 43452134	-5	-Inf	1
43452.178	0	43452178 43452206	-5	-Inf	1
43452.234	0	43452234 43452259	-5	-Inf	1
43452.286	0	43452286 43452300	-5	-Inf	1
43452.348	0	43452348 43452359	-5	-Inf	1
43452.379	0	43452379 43452410	-5	-Inf	1
43452.413	0	43452413 43452431	-5	-Inf	1
43452.446	0	43452446 43452473	-5	-Inf	1
43452.482	0	43452482 43452504	-5	-Inf	1
43452.514	0	43452514 43452526	-5	-Inf	1
43452.535	0	43452535 43452571	-5	-Inf	1
43452.604	0	43452604 43452639	-5	-Inf	1
43452.66	0	43452660 43452671	-5	-Inf	1
43452.704	0	43452704 43452722	-5	-Inf	1
43452.776	0	43452776 43452795	-5	-Inf	1
43452.829	0	43452829 43452901	-5	-Inf	1
43452.993	0	43452993 43453023	-5	-Inf	1
43453.081	0	43453081 43453084	-5	-Inf	1
43453.087	0	43453087 43453117	-5	-Inf	1
43453.147	0	43453147 43453149	-5	-Inf	1
43453.154	0	43453154 43453194	-5	-Inf	1
43453.197	0	43453197 43453205	-5	-Inf	1
43453.209	0	43453209 43453212	-5	-Inf	1
43453.227	0	43453227 43453236	-5	-Inf	1
43453.239	0	43453239 43453273	-5	-Inf	1
43453.322	0	43453322 43453351	-5	-Inf	1
43453.361	0	43453361 43453364	-5	-Inf	1
43453.372	0	43453372 43453410	-5	-Inf	1
43453.415	0	43453415 43453439	-5	-Inf	1
43453.486	0	43453486 43453496	-5	-Inf	1
43453.509	0	43453509 43453525	-5	-Inf	1
43453.535	0	43453535 43453563	-5	-Inf	1
43453.591	0	43453591 43453610	-5	-Inf	1
43453.649	0	43453649 43453707	-5	-Inf	1
43453.754	0	43453754 43453822	-5	-Inf	1
43453.879	0	43453879 43453947	-5	-Inf	1
43453.979	0	43453979 43453990	-5	-Inf	1
43454.023	0	43454023 43454075	-5	-Inf	1
43454.076	0	43454076 43454142	-5	-Inf	1
43454.171	0	43454171 43454223	-5	-Inf	1
43454.245	0	43454245 43454281	-5	-Inf	1
43454.288	0	43454288 43454296	-5	-Inf	1
43454.348	0	43454348 43454360	-5	-Inf	1
43454.405	0	43454405 43454413	-5	-Inf	1
43454.571	0	43454571 43454648	-5	-Inf	1
43454.684	0	43454684 43454696	-5	-Inf	1
43454.706	0	43454706 43454731	-5	-Inf	1
43454.776	0	43454776 43454809	-5	-Inf	1
43454.832	0	43454832 43454834	-5	-Inf	1
43454.852	0	43454852 43454893	-5	-Inf	1
43454.927	0	43454927 43454958	-5	-Inf	1
43454.985	0	43454985 43454987	-5	-Inf	1
43455.042	0	43455042 43455061	-5	-Inf	1
43455.08	0	43455080 43455110	-5	-Inf	1
43455.111	0	43455111 43455124	-5	-Inf	1
43455.138	0	43455138 43455144	-5	-Inf	1
43455.154	0	43455154 43455188	-5	-Inf	1
43455.227	0	43455227 43455235	-5	-Inf	1
43455.249	0	43455249 43455262	-5	-Inf	1
43455.265	0	43455265 43455268	-5	-Inf	1
43455.269	0	43455269 43455279	-5	-Inf	1
43455.291	0	43455291 43455292	-5	-Inf	1
43455.297	0	43455297 43455309	-5	-Inf	1
43455.314	0	43455314 43455323	-5	-Inf	1
43455.327	0	43455327 43455328	-5	-Inf	1
43455.344	0	43455344 43455349	-5	-Inf	1
43455.35	0	43455350 43455351	-5	-Inf	1
43455.359	0	43455359 43455377	-5	-Inf	1
43455.39	0	43455390 43455391	-5	-Inf	1
43455.405	0	43455405 43455407	-5	-Inf	1
43455.409	0	43455409 43455410	-5	-Inf	1
43455.415	0	43455415 43455439	-5	-Inf	1
43455.45	0	43455450 43455451	-5	-Inf	1
43455.56	0	43455560 43455685	-5	-Inf	1
43455.728	0	43455728 43455732	-5	-Inf	1
43455.753	0	43455753 43455773	-5	-Inf	1
43455.821	0	43455821 43455845	-5	-Inf	1
43455.855	0	43455855 43455871	-5	-Inf	1
43455.917	0	43455917 43455941	-5	-Inf	1
43455.995	0	43455995 43456042	-5	-Inf	1
43456.058	0	43456058 43456059	-5	-Inf	1
43456.11	0	43456110 43456119	-5	-Inf	1
43456.381	0	43456381 43456383	-5	-Inf	1
43456.384	0	43456384 43456399	-5	-Inf	1
43456.442	0	43456442 43456457	-5	-Inf	1
43456.486	0	43456486 43456488	-5	-Inf	1
43456.507	0	43456507 43456524	-5	-Inf	1
43456.528	0	43456528 43456583	-5	-Inf	1
43456.907	0	43456907 43456922	-5	-Inf	1
43456.934	0	43456934 43457000	-5	-Inf	1
43447	0	43447000 43447322	-5	-3.5987564321254	1
43448.812	0	43448812 43449758	-5	-3.5987564321254	1
43455.124	0	43455124 43455450	-5	-3.5987564321254	1
43447	0	43447000 43447322	-5	-2.87110214393305	1
43448.812	0	43448812 43449758	-5	-2.87110214393305	1
43455.124	0	43455124 43455439	-5	-2.87110214393305	1
43447	0	43447000 43447322	-5	-2.524465240576	1
43448.812	0	43448812 43449758	-5	-2.524465240576	1
43455.124	0	43455124 43455439	-5	-2.524465240576	1
43447	0	43447000 43447771	-5	-1.7250450381836	1
43448.788	0	43448788 43449758	-5	-1.7250450381836	1
43447.016	0	43447016 43447026	-4.8	-Inf	1
43447.078	0	43447078 43447117	-4.8	-Inf	1
43447.125	0	43447125 43447159	-4.8	-Inf	1
43447.168	0	43447168 43447195	-4.8	-Inf	1
43447.197	0	43447197 43447203	-4.8	-Inf	1
43447.246	0	43447246 43447250	-4.8	-Inf	1
43447.284	0	43447284 43447292	-4.8	-Inf	1
43447.316	0	43447316 43447322	-4.8	-Inf	1
43447.371	0	43447371 43447437	-4.8	-Inf	1
43447.49	0	43447490 43447548	-4.8	-Inf	1
43447.593	0	43447593 43447615	-4.8	-Inf	1
43447.646	0	43447646 43447673	-4.8	-Inf	1
43447.718	0	43447718 43447731	-4.8	-Inf	1
43447.735	0	43447735 43447860	-4.8	-Inf	1
43448.129	0	43448129 43448175	-4.8	-Inf	1
43448.254	0	43448254 43448300	-4.8	-Inf	1
43448.724	0	43448724 43448741	-4.8	-Inf	1
43448.788	0	43448788 43448812	-4.8	-Inf	1
43448.821	0	43448821 43448849	-4.8	-Inf	1
43448.864	0	43448864 43448865	-4.8	-Inf	1
43448.87	0	43448870 43448883	-4.8	-Inf	1
43448.906	0	43448906 43448913	-4.8	-Inf	1
43448.926	0	43448926 43448932	-4.8	-Inf	1
43448.937	0	43448937 43448940	-4.8	-Inf	1
43448.942	0	43448942 43448946	-4.8	-Inf	1
43448.957	0	43448957 43448967	-4.8	-Inf	1
43448.988	0	43448988 43448995	-4.8	-Inf	1
43449.015	0	43449015 43449025	-4.8	-Inf	1
43449.03	0	43449030 43449031	-4.8	-Inf	1
43449.038	0	43449038 43449039	-4.8	-Inf	1
43449.056	0	43449056 43449065	-4.8	-Inf	1
43449.111	0	43449111 43449118	-4.8	-Inf	1
43449.121	0	43449121 43449122	-4.8	-Inf	1
43449.129	0	43449129 43449147	-4.8	-Inf	1
43449.162	0	43449162 43449163	-4.8	-Inf	1
43449.177	0	43449177 43449181	-4.8	-Inf	1
43449.183	0	43449183 43449198	-4.8	-Inf	1
43449.208	0	43449208 43449213	-4.8	-Inf	1
43449.218	0	43449218 43449223	-4.8	-Inf	1
43449.228	0	43449228 43449232	-4.8	-Inf	1
43449.238	0	43449238 43449250	-4.8	-Inf	1
43449.279	0	43449279 43449282	-4.8	-Inf	1
43449.284	0	43449284 43449288	-4.8	-Inf	1
43449.294	0	43449294 43449296	-4.8	-Inf	1
43449.297	0	43449297 43449301	-4.8	-Inf	1
43449.307	0	43449307 43449313	-4.8	-Inf	1
43449.319	0	43449319 43449332	-4.8	-Inf	1
43449.333	0	43449333 43449338	-4.8	-Inf	1
43449.345	0	43449345 43449347	-4.8	-Inf	1
43449.348	0	43449348 43449361	-4.8	-Inf	1
43449.367	0	43449367 43449392	-4.8	-Inf	1
43449.394	0	43449394 43449399	-4.8	-Inf	1
43449.401	0	43449401 43449402	-4.8	-Inf	1
43449.405	0	43449405 43449419	-4.8	-Inf	1
43449.421	0	43449421 43449426	-4.8	-Inf	1
43449.431	0	43449431 43449458	-4.8	-Inf	1
43449.466	0	43449466 43449470	-4.8	-Inf	1
43449.474	0	43449474 43449481	-4.8	-Inf	1
43449.482	0	43449482 43449492	-4.8	-Inf	1
43449.499	0	43449499 43449500	-4.8	-Inf	1
43449.502	0	43449502 43449503	-4.8	-Inf	1
43449.505	0	43449505 43449508	-4.8	-Inf	1
43449.51	0	43449510 43449514	-4.8	-Inf	1
43449.515	0	43449515 43449519	-4.8	-Inf	1
43449.521	0	43449521 43449523	-4.8	-Inf	1
43449.524	0	43449524 43449528	-4.8	-Inf	1
43449.537	0	43449537 43449538	-4.8	-Inf	1
43449.539	0	43449539 43449540	-4.8	-Inf	1
43449.552	0	43449552 43449553	-4.8	-Inf	1
43449.56	0	43449560 43449565	-4.8	-Inf	1
43449.569	0	43449569 43449575	-4.8	-Inf	1
43449.577	0	43449577 43449591	-4.8	-Inf	1
43449.593	0	43449593 43449594	-4.8	-Inf	1
43449.598	0	43449598 43449599	-4.8	-Inf	1
43449.606	0	43449606 43449607	-4.8	-Inf	1
43449.609	0	43449609 43449612	-4.8	-Inf	1
43449.626	0	43449626 43449630	-4.8	-Inf	1
43449.632	0	43449632 43449634	-4.8	-Inf	1
43449.637	0	43449637 43449639	-4.8	-Inf	1
43449.64	0	43449640 43449641	-4.8	-Inf	1
43449.642	0	43449642 43449645	-4.8	-Inf	1
43449.658	0	43449658 43449664	-4.8	-Inf	1
43449.678	0	43449678 43449681	-4.8	-Inf	1
43449.684	0	43449684 43449689	-4.8	-Inf	1
43449.69	0	43449690 43449694	-4.8	-Inf	1
43449.722	0	43449722 43449750	-4.8	-Inf	1
43449.753	0	43449753 43449758	-4.8	-Inf	1
43449.781	0	43449781 43449806	-4.8	-Inf	1
43449.811	0	43449811 43449833	-4.8	-Inf	1
43449.834	0	43449834 43449838	-4.8	-Inf	1
43449.864	0	43449864 43449876	-4.8	-Inf	1
43449.905	0	43449905 43449937	-4.8	-Inf	1
43449.981	0	43449981 43449989	-4.8	-Inf	1
43450.016	0	43450016 43450035	-4.8	-Inf	1
43450.14	0	43450140 43450264	-4.8	-Inf	1
43450.278	0	43450278 43450366	-4.8	-Inf	1
43450.403	0	43450403 43450405	-4.8	-Inf	1
43450.516	0	43450516 43450556	-4.8	-Inf	1
43450.926	0	43450926 43450955	-4.8	-Inf	1
43451.051	0	43451051 43451078	-4.8	-Inf	1
43451.168	0	43451168 43451185	-4.8	-Inf	1
43451.197	0	43451197 43451279	-4.8	-Inf	1
43451.289	0	43451289 43451295	-4.8	-Inf	1
43451.301	0	43451301 43451309	-4.8	-Inf	1
43451.322	0	43451322 43451360	-4.8	-Inf	1
43451.37	0	43451370 43451409	-4.8	-Inf	1
43451.488	0	43451488 43451566	-4.8	-Inf	1
43451.768	0	43451768 43451863	-4.8	-Inf	1
43451.898	0	43451898 43452023	-4.8	-Inf	1
43452.048	0	43452048 43452082	-4.8	-Inf	1
43452.125	0	43452125 43452129	-4.8	-Inf	1
43452.13	0	43452130 43452134	-4.8	-Inf	1
43452.178	0	43452178 43452206	-4.8	-Inf	1
43452.234	0	43452234 43452259	-4.8	-Inf	1
43452.286	0	43452286 43452300	-4.8	-Inf	1
43452.348	0	43452348 43452359	-4.8	-Inf	1
43452.379	0	43452379 43452410	-4.8	-Inf	1
43452.413	0	43452413 43452431	-4.8	-Inf	1
43452.446	0	43452446 43452473	-4.8	-Inf	1
43452.482	0	43452482 43452504	-4.8	-Inf	1
43452.514	0	43452514 43452526	-4.8	-Inf	1
43452.535	0	43452535 43452571	-4.8	-Inf	1
43452.604	0	43452604 43452639	-4.8	-Inf	1
43452.66	0	43452660 43452671	-4.8	-Inf	1
43452.704	0	43452704 43452722	-4.8	-Inf	1
43452.776	0	43452776 43452795	-4.8	-Inf	1
