x	y	PANEL
-5	0.729166666666667	1
-4.8	0.729166666666667	1
-4.6	0.791666666666667	1
-4.4	0.791666666666667	1
-4.2	0.791666666666667	1
-4	0.8125	1
-3.8	0.8125	1
-3.6	0.8125	1
-3.4	0.8125	1
-3.2	0.8125	1
-3	0.8125	1
-2.8	0.8125	1
-2.6	0.8125	1
-2.4	0.8125	1
-2.2	0.8125	1
-2	0.8125	1
-1.8	0.833333333333333	1
-1.6	0.833333333333333	1
-1.4	0.854166666666667	1
-1.2	0.854166666666667	1
-1	0.854166666666667	1
-0.8	0.854166666666667	1
-0.6	0.895833333333333	1
-0.399999999999999	0.895833333333333	1
-0.199999999999999	0.895833333333333	1
0	0.895833333333333	1
0.2	0.916666666666667	1
0.4	0.916666666666667	1
0.600000000000001	0.916666666666667	1
0.800000000000001	0.916666666666667	1
1	0.895833333333333	1
1.2	0.895833333333333	1
1.4	0.895833333333333	1
1.6	0.875	1
1.8	0.875	1
2	0.875	1
2.2	0.895833333333333	1
2.4	0.8125	1
2.6	0.8125	1
2.8	0.8125	1
3	0.8125	1
3.2	0.8125	1
3.4	0.8125	1
3.6	0.8125	1
3.8	0.8125	1
4	0.791666666666667	1
4.2	0.791666666666667	1
4.4	0.791666666666667	1
4.6	0.770833333333333	1
4.8	0.770833333333333	1
5	0.770833333333333	1
-5	8.04881065070079	2
-4.8	7.64881065070079	2
-4.6	7.24881065070079	2
-4.4	6.84881065070079	2
-4.2	6.44881065070079	2
-4	6.06990014742764	2
-3.8	5.86990014742764	2
-3.6	5.66990014742764	2
-3.4	5.46990014742764	2
-3.2	5.26990014742764	2
-3	5.06990014742764	2
-2.8	4.86990014742764	2
-2.6	4.66990014742764	2
-2.4	4.46990014742764	2
-2.2	4.26990014742764	2
-2	4.06990014742764	2
-1.8	3.86990014742764	2
-1.6	3.66990014742764	2
-1.4	3.46990014742764	2
-1.2	3.26990014742764	2
-1	3.06990014742764	2
-0.8	2.86990014742764	2
-0.6	2.78403998414902	2
-0.399999999999999	2.78403998414902	2
-0.199999999999999	2.78403998414902	2
0	2.78403998414902	2
0.2	2.78403998414902	2
0.4	2.78403998414902	2
0.600000000000001	2.78403998414902	2
0.800000000000001	2.78403998414902	2
1	2.78403998414902	2
1.2	2.78403998414902	2
1.4	2.78403998414902	2
1.6	2.78403998414902	2
1.8	2.78403998414902	2
2	2.78403998414902	2
2.2	2.91413983672138	2
2.4	3.11413983672138	2
2.6	3.31413983672138	2
2.8	3.51413983672138	2
3	3.71413983672138	2
3.2	3.91413983672138	2
3.4	4.11413983672138	2
3.6	4.31413983672138	2
3.8	4.51413983672138	2
4	4.83105838827252	2
4.2	5.23105838827252	2
4.4	5.63105838827252	2
4.6	6.03105838827252	2
4.8	6.43105838827252	2
5	6.83105838827252	2
-5	-2	3
-4.8	-2	3
-4.6	-2	3
-4.4	-2	3
-4.2	-2	3
-4	-1	3
-3.8	-1	3
-3.6	-1	3
-3.4	-1	3
-3.2	-1	3
-3	-1	3
-2.8	-1	3
-2.6	-1	3
-2.4	-1	3
-2.2	-1	3
-2	-1	3
-1.8	-1	3
-1.6	-1	3
-1.4	-1	3
-1.2	-1	3
-1	-1	3
-0.8	-1	3
-0.6	0	3
-0.399999999999999	0	3
-0.199999999999999	0	3
0	0	3
0.2	0	3
0.4	0	3
0.600000000000001	0	3
0.800000000000001	0	3
1	0	3
1.2	0	3
1.4	0	3
1.6	0	3
1.8	0	3
2	0	3
2.2	1	3
2.4	1	3
2.6	1	3
2.8	1	3
3	1	3
3.2	1	3
3.4	1	3
3.6	1	3
3.8	1	3
4	2	3
4.2	2	3
4.4	2	3
4.6	2	3
4.8	2	3
5	2	3
-5	3	4
-4.8	3	4
-4.6	3	4
-4.4	3	4
-4.2	3	4
-4	2	4
-3.8	2	4
-3.6	2	4
-3.4	2	4
-3.2	2	4
-3	2	4
-2.8	2	4
-2.6	2	4
-2.4	2	4
-2.2	2	4
-2	2	4
-1.8	2	4
-1.6	2	4
-1.4	2	4
-1.2	2	4
-1	2	4
-0.8	2	4
-0.6	2	4
-0.399999999999999	2	4
-0.199999999999999	2	4
0	2	4
0.2	2	4
0.4	2	4
0.600000000000001	2	4
0.800000000000001	2	4
1	2	4
1.2	2	4
1.4	2	4
1.6	2	4
1.8	2	4
2	2	4
2.2	2	4
2.4	2	4
2.6	2	4
2.8	2	4
3	2	4
3.2	2	4
3.4	2	4
3.6	2	4
3.8	2	4
4	3	4
4.2	3	4
4.4	3	4
4.6	3	4
4.8	3	4
5	3	4
-5	2	5
-4.8	2	5
-4.6	3	5
-4.4	3	5
-4.2	3	5
-4	1	5
-3.8	1	5
-3.6	1	5
-3.4	1	5
-3.2	1	5
-3	1	5
-2.8	1	5
-2.6	1	5
-2.4	1	5
-2.2	1	5
-2	1	5
-1.8	2	5
-1.6	2	5
-1.4	2	5
-1.2	2	5
-1	2	5
-0.8	2	5
-0.6	1	5
-0.399999999999999	1	5
-0.199999999999999	1	5
0	1	5
0.2	2	5
0.4	2	5
0.600000000000001	2	5
0.800000000000001	2	5
1	1	5
1.2	1	5
1.4	1	5
1.6	1	5
1.8	1	5
2	1	5
2.2	2	5
2.4	1	5
2.6	1	5
2.8	1	5
3	1	5
3.2	1	5
3.4	1	5
3.6	1	5
3.8	1	5
4	3	5
4.2	3	5
4.4	3	5
4.6	2	5
4.8	2	5
5	2	5
