x	xend	y	yend	key	showSelected1	showSelected2	PANEL
43447	43447.016	3.81132	3.81132	43447000 43447016	-5	-Inf	1
43447.016	43447.026	3.81132	3.81132	43447016 43447026	-5	-Inf	1
43447.026	43447.078	1.65385	1.65385	43447026 43447078	-5	-Inf	1
43447.078	43447.117	4	4	43447078 43447117	-5	-Inf	1
43447.117	43447.125	3	3	43447117 43447125	-5	-Inf	1
43447.125	43447.159	4.2093	4.2093	43447125 43447159	-5	-Inf	1
43447.159	43447.168	4.2093	4.2093	43447159 43447168	-5	-Inf	1
43447.168	43447.195	5.03704	5.03704	43447168 43447195	-5	-Inf	1
43447.195	43447.197	4	4	43447195 43447197	-5	-Inf	1
43447.197	43447.203	6	6	43447197 43447203	-5	-Inf	1
43447.203	43447.246	4	4	43447203 43447246	-5	-Inf	1
43447.246	43447.25	5	5	43447246 43447250	-5	-Inf	1
43447.25	43447.284	3.80952	3.80952	43447250 43447284	-5	-Inf	1
43447.284	43447.292	3.80952	3.80952	43447284 43447292	-5	-Inf	1
43447.292	43447.316	2	2	43447292 43447316	-5	-Inf	1
43447.316	43447.322	3	3	43447316 43447322	-5	-Inf	1
43447.322	43447.371	1.42609	1.42609	43447322 43447371	-5	-Inf	1
43447.371	43447.437	1.42609	1.42609	43447371 43447437	-5	-Inf	1
43447.437	43447.49	0	0	43447437 43447490	-5	-Inf	1
43447.49	43447.548	1.43689	1.43689	43447490 43447548	-5	-Inf	1
43447.548	43447.593	1.43689	1.43689	43447548 43447593	-5	-Inf	1
43447.593	43447.615	3.40909	3.40909	43447593 43447615	-5	-Inf	1
43447.615	43447.646	3	3	43447615 43447646	-5	-Inf	1
43447.646	43447.673	4	4	43447646 43447673	-5	-Inf	1
43447.673	43447.718	2.77586	2.77586	43447673 43447718	-5	-Inf	1
43447.718	43447.731	2.77586	2.77586	43447718 43447731	-5	-Inf	1
43447.731	43447.735	1	1	43447731 43447735	-5	-Inf	1
43447.735	43447.86	1.288	1.288	43447735 43447860	-5	-Inf	1
43447.86	43448.129	0	0	43447860 43448129	-5	-Inf	1
43448.129	43448.175	1.46199	1.46199	43448129 43448175	-5	-Inf	1
43448.175	43448.254	1.46199	1.46199	43448175 43448254	-5	-Inf	1
43448.254	43448.3	1.46199	1.46199	43448254 43448300	-5	-Inf	1
43448.3	43448.724	0	0	43448300 43448724	-5	-Inf	1
43448.724	43448.741	2.73438	2.73438	43448724 43448741	-5	-Inf	1
43448.741	43448.788	2.73438	2.73438	43448741 43448788	-5	-Inf	1
43448.788	43448.812	4.27273	4.27273	43448788 43448812	-5	-Inf	1
43448.812	43448.821	4.27273	4.27273	43448812 43448821	-5	-Inf	1
43448.821	43448.849	6.60714	6.60714	43448821 43448849	-5	-Inf	1
43448.849	43448.864	4.95238	4.95238	43448849 43448864	-5	-Inf	1
43448.864	43448.865	4.95238	4.95238	43448864 43448865	-5	-Inf	1
43448.865	43448.87	4.95238	4.95238	43448865 43448870	-5	-Inf	1
43448.87	43448.883	6.63889	6.63889	43448870 43448883	-5	-Inf	1
43448.883	43448.906	6.63889	6.63889	43448883 43448906	-5	-Inf	1
43448.906	43448.913	8	8	43448906 43448913	-5	-Inf	1
43448.913	43448.926	7	7	43448913 43448926	-5	-Inf	1
